r,l,t
49963.973413,300,670.528201
63382.482274,321,672.638835
53870.114709,301,673.069849
47612.025381,320,673.515994
53983.770203,295,673.938592
53689.307671,319,674.402274
48142.375847,301,674.882609
44440.823817,304,675.320827
46378.484714,299,677.259684
53670.298021,326,677.74779
38525.694976,328,678.193406
48264.783651,319,678.635093
56250.745887,331,679.097302
44922.602644,307,679.554228
51753.675462,303,681.405424
53652.52975,324,681.843243
44493.192799,309,682.289912
55992.790321,325,682.779199
47516.118336,304,683.220811
42590.775155,300,683.679088
65284.2469,337,684.142507
52231.088967,313,686.079278
50883.235578,318,686.536799
55327.943096,340,687.010851
58570.603486,328,687.460601
58631.017192,334,688.012234
52051.142388,323,688.46106
62935.303238,348,690.451478
57275.84655,332,690.930067
57715.777454,336,691.394831
60314.273324,319,691.838149
47329.008765,341,692.302218
56772.2349,337,692.804655
58146.404942,329,694.805147
40008.69245,331,695.251668
48553.284069,320,695.698933
55668.797256,315,696.155774
60324.802735,332,696.626586
63709.960054,331,697.109945
53868.981373,325,699.312209
56252.008686,323,699.770867
52333.51166,336,700.276921
43973.209167,323,700.913032
60567.931094,327,701.462508
50064.960201,334,701.995678
66070.206323,332,702.593083
62890.628113,321,704.673733
64722.835596,323,705.118656
46708.00531,311,705.553356
65433.665473,347,706.066937
46165.89611,331,706.529166
63869.109204,316,707.0019
49327.492757,301,709.06886
53537.352007,317,709.57583
54197.948242,311,710.013217
44914.507266,305,710.464684
47926.738087,297,710.900781
71824.266163,346,711.397038
56374.728235,313,713.228819
63536.916563,328,713.749214
59123.753002,328,714.229757
57158.753103,326,714.694155
54369.105804,290,715.131863
42218.782982,312,715.570811
52281.032146,310,716.060658
49375.162146,333,717.986026
56697.21865,327,718.446056
76311.796189,358,718.974959
52266.189521,312,719.445041
50958.388664,299,719.888106
48553.93313,306,720.342392
57114.30271,298,722.11145
47754.933872,302,722.568429
57177.38117,332,723.025474
52960.220406,324,723.474142
46884.787703,307,723.970896
51026.881351,320,724.428587
45318.932894,306,724.880521
61989.667862,315,726.931055
56098.323082,314,727.409448
57577.514258,324,727.88547
63398.620133,337,728.3375
49525.937867,329,728.830749
62624.222107,317,729.394979
42403.815495,304,731.422106
49567.602907,329,731.861841
51319.916624,308,732.33738
51423.392096,307,732.772764
63082.624918,342,733.272805
66592.186292,334,733.869563
60517.10448,322,734.369752
59307.303019,326,736.288811
52477.266822,329,736.751911
55778.862099,327,737.226517
49501.338636,334,737.698678
61925.527872,342,738.193875
54247.099125,335,738.653387
53181.028573,299,740.572244
56586.181832,326,741.041116
59712.471458,313,741.511669
59315.610242,333,741.985221
52857.607543,335,742.49299
51822.21178,320,742.9511
55520.918286,330,744.852752
52635.014514,312,745.283736
62767.008621,332,745.774119
53232.811956,318,746.220601
50148.846159,315,746.699346
45478.616555,315,747.155838
54697.790829,324,749.009811
59038.206032,331,749.547481
50961.471838,321,750.035245
53998.125616,314,750.478401
75004.93114,370,750.988924
55641.820751,314,751.453711
52883.190477,298,751.901954
48745.253632,319,753.812627
64083.872116,333,754.301708
52672.511229,313,754.806419
60276.001009,329,755.295462
71158.21897,352,755.761782
41961.505028,304,756.196377
54958.386,343,758.278774
47862.667641,309,758.727492
48679.019283,326,759.186572
48151.996008,323,759.63599
60129.798748,333,760.162191
56584.897176,325,760.620946
58736.775027,326,762.642525
55158.139699,317,763.110438
56619.062905,329,763.569333
67772.983201,333,764.076647
57301.008425,328,764.531258
61954.624505,351,765.026377
63421.84659,323,765.501431
43233.785129,318,767.394961
53629.070752,317,767.884393
51392.292676,323,768.34201
41881.935015,318,768.812669
73406.13681,349,769.485087
46891.897232,296,769.92434
42743.977953,312,771.918347
62047.52365,328,772.364332
66914.686384,335,772.843371
59801.040489,327,773.315292
59202.604411,327,773.779017
54680.795217,317,774.235355
56230.491798,313,776.126844
69458.961466,320,776.577301
49096.302136,301,777.087189
50664.751525,303,777.528295
46158.172972,285,777.963377
65541.246798,328,778.431144
50530.932643,286,778.866158
52744.902087,312,780.938341
55856.254712,313,781.370677
43097.100756,304,781.809165
57278.718219,313,782.261472
51235.717248,315,782.713216
52279.357926,303,783.151892
59324.370639,317,783.618218
51466.455644,292,785.50502
52807.774914,318,785.99044
57331.245548,309,786.420496
47424.408736,293,786.894251
58110.445258,306,787.338879
57106.717682,320,787.788146
55702.235367,305,789.66606
45725.636792,299,790.139979
59410.109171,333,790.652177
51248.920168,324,791.173758
60322.959341,322,791.636469
51145.102948,325,792.084662
58452.395652,318,792.548041
65452.331869,325,794.370784
54445.676365,323,794.835653
50940.294352,299,795.298337
50449.076031,307,795.72756
68210.571454,347,796.264772
47089.214741,314,796.721095
53315.377258,310,798.787454
52311.270319,315,799.226934
60638.00568,323,799.676745
76266.059424,356,800.200804
64993.695385,325,800.65861
54424.927624,297,801.102224
48754.247416,297,801.554518
56025.685131,333,803.383033
43774.241736,319,803.828742
65353.846511,325,804.434775
57207.972466,333,804.920844
49907.435278,316,805.370744
50113.751921,310,805.801361
57996.149707,307,807.793397
48957.843904,303,808.226507
53406.996819,312,808.671934
52036.10002,306,809.134316
61566.365735,317,809.590869
62254.918359,319,810.074748
51588.06057,299,810.539342
53053.24028,316,812.523486
60934.561719,320,812.977094
49661.156371,308,813.439003
55197.051645,295,813.879829
46827.262448,317,814.342721
52846.555197,316,814.792276
47803.301046,298,816.815442
54819.485843,305,817.273126
57599.864887,320,817.709731
47963.304057,320,818.193915
40889.185761,296,818.62102
49770.951262,307,819.101328
55239.972293,320,819.54537
49175.794869,321,821.459919
57920.955713,323,821.971159
62594.616425,321,822.452179
51125.345604,336,822.937179
47306.671326,330,823.424404
50850.773624,312,823.891093
47824.951515,332,825.834034
54967.293957,343,826.29351
60148.362174,300,826.782877
47828.828339,303,827.257088
47646.451332,313,827.695224
48379.791826,341,828.15936
51138.445355,311,830.019091
54176.529792,327,830.499869
50377.869036,302,830.961361
52207.029749,304,831.404585
50961.005672,333,831.944522
49252.272887,329,832.4555
51021.887988,304,832.877341
59077.174782,332,834.882918
53762.802558,330,835.360828
52911.929356,354,835.836837
51042.43515,334,836.319349
50097.68367,319,836.779613
57313.024087,333,837.339977
48507.914589,316,839.2377
56487.715076,326,839.829342
50493.832801,316,840.308464
55512.606572,331,840.768862
49033.164926,347,841.276125
56068.435865,342,841.728241
47406.566072,326,843.635662
53381.022299,346,844.125778
57118.570858,345,844.627925
46546.684012,340,845.124619
45032.042978,335,845.628355
53654.895779,338,846.126889
56911.664636,332,848.189715
44816.377769,318,848.645745
57114.793799,338,849.120948
42740.700358,321,849.580523
56324.575543,327,850.044526
60456.673631,336,850.512295
52456.493339,335,850.993406
52598.563854,317,852.994615
51224.56125,327,853.459673
52934.854175,328,853.930364
49009.470765,332,854.405549
54900.576534,335,854.877497
53979.527829,323,855.367619
54657.324682,322,857.225367
50666.330375,310,857.719837
51835.04468,318,858.169388
57082.421619,323,858.618166
47725.991037,323,859.068081
42381.179192,309,859.509536
44255.611475,313,861.447207
52723.843954,325,861.896058
58151.517938,335,862.361304
51103.0382,315,862.861573
52379.899902,310,863.329029
50997.878982,329,863.780831
55678.785306,308,864.229765
51228.071768,319,866.049764
51012.202697,326,866.516428
54740.27383,315,866.988032
53907.232099,332,867.4759
54295.090669,316,867.977416
54223.985052,333,868.474563
44001.878297,307,870.302154
52882.019397,317,870.754143
45327.255993,300,871.184746
47876.931847,338,871.652232
59168.25835,329,872.170908
65922.635559,335,872.639201
45119.365568,323,875.081155
42206.350021,311,875.769591
59238.945606,310,876.329087
62669.976617,332,876.861605
46114.225745,290,877.395978
50970.635739,315,877.945051
55047.183875,315,878.546061
53481.556974,307,880.803882
56069.843978,317,881.337283
44547.338433,313,881.879243
56623.023302,316,882.496751
47618.613034,296,883.062239
59682.218221,333,883.637127
51528.119917,321,885.969716
58545.017261,313,886.503962
50463.240335,312,887.021326
59758.778655,338,887.579108
58253.868454,327,888.112203
57024.118116,339,888.730959
54222.946972,327,889.287328
66690.605357,325,891.253256
49291.899828,324,891.693952
53456.763557,329,892.171647
50252.700901,320,892.646195
53021.254067,301,893.078081
47651.596693,316,893.537504
47089.400769,310,895.628258
56395.099747,314,896.067104
70467.079951,327,896.546414
56109.034119,312,896.98643
46102.741992,294,897.447674
66087.120667,327,897.901275
56193.31386,320,898.372845
49899.473115,318,900.327523
48848.401504,311,900.775709
42415.407976,315,901.222068
50213.634816,322,901.678873
52164.948394,297,902.121305
51098.126025,314,902.563239
44240.701366,294,904.528288
49744.316592,300,904.943879
47560.808819,319,905.40574
47194.283883,294,905.826004
43709.700049,294,906.26163
44661.820612,302,906.685421
44840.789111,299,907.129415
58838.168921,319,909.067982
46669.497506,305,909.563123
45879.309486,313,910.049784
43882.201364,285,910.478111
56757.968188,294,910.918738
57203.905862,310,911.493624
54516.211816,311,911.941238
42141.033307,296,913.962433
45846.627954,285,914.45304
60999.534839,329,914.921207
54057.223512,313,915.361313
45700.318774,295,915.786724
51653.085875,312,916.241902
62070.40391,306,918.144851
45477.372514,306,918.61721
56496.672937,291,919.032016
40490.005065,293,919.528988
46090.994864,302,919.969138
60323.429052,317,920.408169
41500.139954,295,920.82989
45822.191917,295,922.593799
50564.947258,306,923.036854
49701.576145,306,923.482171
52647.556274,279,923.938391
51021.072447,304,924.382601
46754.286075,293,924.858243
49774.603579,322,925.302349
50375.17174,278,927.158774
51756.075081,285,927.573104
62462.202789,309,928.043702
54233.85603,294,928.477519
46106.496606,293,928.89376
50154.870975,285,929.335752
57467.641375,318,929.786013
48222.793978,293,931.636225
53001.838477,305,932.078544
45783.929658,296,932.528138
43466.853575,280,932.952583
49232.070032,302,933.374883
52826.574562,296,933.823065
46458.050321,292,934.267739
50363.252274,292,936.177839
46993.569287,293,936.614627
57000.432042,297,937.07757
42022.394204,288,937.501084
47245.112575,302,937.942997
44342.220595,295,938.368852
81326.510083,350,938.853769
40917.975677,284,940.785735
52088.419507,282,941.199919
43139.53151,280,941.645115
49745.341153,290,942.081499
44694.707786,308,942.521375
57143.151554,308,942.956507
43270.50127,286,943.392575
44661.554443,279,945.749674
48319.382719,313,946.198543
51233.370218,308,946.666149
46554.194886,294,947.084579
59786.005564,300,947.510359
46619.211218,296,947.964275
44853.94609,304,948.40471
49860.476967,299,950.243481
48971.052527,293,950.730941
47189.130927,292,951.190014
56071.225745,292,951.600075
50742.257868,281,952.018538
44238.692286,288,952.452091
41290.238193,294,952.888882
56622.286178,309,954.862218
44764.677375,295,955.295247
41106.306591,296,955.784475
53049.70503,281,956.184882
56932.468883,312,956.636478
54756.599744,296,957.082032
46538.38975,294,957.515121
41449.597793,293,959.484828
51147.08656,289,959.921272
53332.012061,291,960.35989
42124.503631,291,960.829054
61304.346328,313,961.32286
46101.61133,299,961.785422
40918.054977,285,963.544395
43441.356494,287,964.011433
52068.494599,306,964.467564
53750.109973,283,964.950217
62540.886797,309,965.390657
48631.771809,297,965.858778
49925.470752,302,966.312327
59016.74885,307,968.172717
59988.975032,329,968.652943
52353.203271,287,969.091
49285.951002,305,969.527749
45918.78169,292,969.970351
50719.127761,282,970.395907
48648.523109,288,970.827762
62846.664783,308,972.835866
54144.555859,291,973.25175
57177.66532,299,973.716621
50099.942578,308,974.177082
55282.308659,322,974.623319
53817.927387,301,975.075886
47873.92188,309,975.537225
52928.924175,301,977.668952
42319.906379,272,978.069411
48593.948954,305,978.643574
45832.864062,291,979.082572
44889.890901,284,979.536981
48199.917781,272,979.950837
57547.917621,267,980.35326
45524.513965,272,982.268667
47363.058838,283,982.689524
53530.594928,294,983.167194
50407.554663,282,983.583575
44618.829687,281,984.001638
54355.569468,285,984.428677
55063.182221,293,984.868785
49732.608669,277,986.845907
51462.388281,290,987.325692
50207.240365,290,987.752329
47766.941673,280,988.184794
41871.184593,282,988.614037
40406.400896,284,989.03631
39639.001147,277,989.461321
50114.388014,295,989.893903
54657.40387,276,991.853022
43521.441341,287,992.284824
61744.29568,288,992.692378
51344.098765,315,993.125592
54431.207861,311,993.550866
46717.996907,299,993.985172
42121.415186,290,995.856755
48243.051575,294,996.356278
52445.600258,302,996.855174
46499.156686,279,997.290679
43178.336386,286,997.693948
53413.749622,295,998.126254
45390.689905,311,998.584728
47012.10433,288,1000.470384
45623.264355,277,1000.895876
44999.21342,281,1001.314684
58172.851638,309,1001.777593
45409.097033,293,1002.25985
46446.274432,307,1002.725091
46401.973984,275,1003.118908
50569.67051,309,1005.086792
43946.488135,284,1005.559412
46162.427835,306,1006.042164
43365.464063,309,1006.49053
54867.367121,310,1006.92763
58385.571283,293,1007.403433
58432.068377,297,1007.852747
40574.920864,282,1009.738824
49844.135997,283,1010.185536
47144.583625,300,1010.622218
50659.4224,299,1011.198643
45664.461804,294,1011.625182
60220.302338,327,1012.100013
58024.50597,295,1012.585891
49250.950342,308,1014.55728
48841.873564,301,1014.986422
59314.365747,303,1015.442568
53491.750311,309,1015.885037
57218.989435,307,1016.3511
52806.491249,283,1016.768036
48196.601121,294,1017.194736
48376.354128,299,1019.185289
48552.198178,294,1019.601662
41757.174916,282,1020.017774
57473.831921,309,1020.478005
64460.095144,309,1020.910351
59196.002454,298,1021.344204
43460.422412,280,1021.764389
44952.230804,265,1023.734407
50440.110596,291,1024.151131
48277.623332,292,1024.563819
49790.873019,286,1024.991584
50616.37781,295,1025.437934
46437.522785,297,1025.884358
66400.292862,321,1026.365911
48658.215283,298,1028.482506
48406.347704,309,1028.919356
47767.838068,303,1029.35356
48043.738963,283,1029.778419
55220.022139,311,1030.219675
47147.249585,308,1030.661319
57401.281467,296,1031.094627
43522.529352,294,1033.030287
51559.713766,307,1033.494433
60846.237939,293,1033.927045
46225.129609,283,1034.350986
43313.832811,302,1034.779064
42578.319187,293,1035.211126
54810.220615,287,1035.656333
41652.699414,296,1037.61507
53915.810783,300,1038.079551
54602.741713,318,1038.571389
37930.417225,285,1038.967952
48696.268862,298,1039.409461
47096.07883,299,1039.826651
45621.493461,293,1040.252936
52166.284281,298,1042.235733
51026.477141,311,1042.660944
46116.179631,304,1043.117822
45255.463641,296,1043.599241
46707.04574,288,1044.127345
41614.256289,300,1044.568704
46391.239802,301,1046.416894
49461.423742,303,1046.87995
52157.105342,314,1047.354313
40755.953168,314,1047.808376
56958.139613,329,1048.348504
49430.378971,303,1048.793146
43934.871867,321,1049.225211
47268.668931,328,1051.127604
65436.580808,321,1051.585226
51960.256372,308,1052.026964
49208.420374,311,1052.484486
53242.764304,320,1052.934795
47452.644972,315,1053.441782
53604.828242,306,1055.35724
57583.715384,334,1055.844218
43736.995958,313,1056.30569
55329.028052,326,1056.753418
49348.752517,326,1057.209687
48290.14425,340,1057.727802
57400.292977,331,1058.193197
46140.831779,326,1060.260356
48986.88261,327,1060.731249
51311.898406,323,1061.203828
43922.001419,319,1061.659599
54311.886762,326,1062.159375
62867.109253,317,1062.606369
50728.299431,311,1064.560518
55316.108826,317,1065.001429
55842.469983,303,1065.450707
52636.941614,312,1065.900734
55998.814375,302,1066.37483
38794.89705,310,1066.818685
50890.128878,302,1067.250482
48855.543406,286,1069.235557
65501.24292,319,1069.709471
49282.352091,307,1070.135046
49822.195724,305,1070.568434
41716.484207,290,1071.043088
47331.362489,298,1071.474809
53289.815221,302,1073.442807
52693.726076,308,1073.931307
49076.615845,299,1074.430709
49763.543553,282,1074.861799
44468.387124,288,1075.277809
53359.972427,295,1075.735179
42591.844233,289,1076.156704
50830.451829,293,1078.044767
49311.419519,302,1078.535872
47954.162597,291,1079.099127
47508.677542,283,1079.572526
47893.01278,294,1080.062052
39978.295381,288,1080.480663
48151.421594,283,1080.889455
45303.241056,290,1082.628658
51640.353957,293,1083.099227
46471.920142,282,1083.520172
42677.933193,289,1083.958838
50064.331911,287,1084.428819
49583.61333,286,1084.858929
53539.618632,292,1085.303003
39668.210861,284,1085.7367
45724.143215,282,1087.669269
47178.196516,287,1088.102653
46246.79347,279,1088.551537
51562.089383,288,1088.985932
51969.37152,281,1089.428995
44085.849332,307,1089.955012
61857.724697,309,1090.375822
43394.146865,290,1092.474467
48753.264893,279,1092.91933
46032.450975,260,1093.342646
48039.883325,292,1093.761994
53402.058658,300,1094.202475
52651.446471,285,1094.646594
36554.365393,260,1095.102914
43938.697259,278,1097.017873
49323.51383,282,1097.44433
56533.904927,287,1097.903385
56982.597302,292,1098.347285
42418.717578,274,1098.768672
51529.825434,294,1099.242794
44755.974638,283,1099.669248
55316.370039,286,1101.736336
51842.916047,299,1102.168957
43314.692337,289,1102.586388
34861.456185,258,1102.987634
50893.84051,285,1103.412353
47736.015375,265,1103.844561
48830.103607,269,1104.254539
53529.415747,284,1104.70954
48544.393236,287,1106.730859
44113.764697,281,1107.144622
56647.560479,282,1107.552444
45309.598437,266,1107.967097
40612.285386,257,1108.378381
39498.324979,247,1108.767343
40301.98176,272,1109.210079
46931.339429,272,1111.239079
62189.790625,295,1111.783076
46794.085726,261,1112.186333
42839.441329,281,1112.630674
44632.731023,265,1113.048697
38899.771604,266,1113.449299
45740.802058,271,1113.851469
45505.820508,281,1114.268399
48570.121676,284,1116.160979
39635.017292,289,1116.616348
47123.42484,273,1117.027185
44762.397445,267,1117.458658
40260.160076,266,1117.891098
41690.968727,281,1118.311516
44593.225586,283,1118.736127
44139.174621,285,1120.711413
36442.099858,265,1121.12756
39158.759434,250,1121.595561
40807.257331,261,1121.987633
49590.36416,276,1122.391861
43087.054862,266,1122.776453
39828.752473,250,1123.157924
51935.313746,299,1123.595198
41463.318981,279,1125.582792
52081.256566,280,1126.008805
