#{"t_start": 1776670605.7900777, "env_id": "None"}
r,l,t
-37568.695821,1080,90.724907
-11986.036986,1080,91.317249
-11534.970477,1080,92.688972
-18061.732545,1080,93.294908
-19303.072362,1080,94.739603
-30612.608296,1080,95.352868
-51356.521962,1080,96.738415
-17546.831436,1080,97.334177
-15571.562845,1080,98.668617
-50305.242707,1080,99.272824
-20681.041677,1080,100.610869
-23730.880045,1080,101.208615
-4920.315488,1080,102.606217
-12679.73918,1080,103.920842
-36289.014594,1080,104.581266
-23036.508674,1080,105.879979
-12349.406971,1080,106.519468
-24516.587543,1080,107.891446
-12267.763355,1080,108.492383
-13421.788565,1080,109.800368
-32424.16449,1080,110.40221
-10718.679004,1080,111.758878
-6443.859683,1080,112.365294
-10165.25686,1080,113.652236
-5175.684169,1080,114.26351
-9867.017966,1080,115.619979
-15471.515699,1080,116.229348
-4289.077028,1080,117.646249
-1138.895723,1080,118.243302
-4865.285032,1080,119.654727
1040.422099,1080,120.257972
-7813.790941,1080,121.60697
-1746.204184,1080,122.967551
-27521.507844,1080,123.625542
-5890.312254,1080,124.980658
-7811.992135,1080,125.603656
-20559.606649,1080,126.922079
-4294.046683,1080,127.530376
-4028.962861,1080,128.848142
-9971.961009,1080,129.450464
-7240.250421,1080,130.862006
-8619.90566,1080,131.470513
-15883.919531,1080,132.884071
-6196.59113,1080,133.485809
-12332.633684,1080,134.870729
-17545.792163,1080,135.482661
-6678.146644,1080,136.790597
-1689.308241,1080,137.394964
-13546.814824,1080,138.768633
-9287.953291,1080,139.382571
-12547.620418,1080,140.75977
-1772.929269,1080,142.158596
713.390672,1080,142.799905
-11624.621478,1080,144.18518
-11438.657278,1080,144.818638
1222.07708,1080,146.188527
-8700.809137,1080,146.791042
-1307.93212,1080,148.100764
-3774.068541,1080,148.705274
-5962.824893,1080,150.056315
-12107.455833,1080,150.685063
-13294.840737,1080,151.968788
-10778.773194,1080,152.567639
-19249.862396,1080,153.971151
-5763.200369,1080,154.578962
-15358.642427,1080,155.949315
-27324.798303,1080,156.558797
-17366.082407,1080,157.928349
-356.019885,1080,159.255769
-71537.564457,1080,159.918681
-16073.797655,1080,161.286947
-31201.553558,1080,161.930467
-25337.472377,1080,163.344148
-7990.859437,1080,163.956403
-14276.137553,1080,165.328768
-14849.104497,1080,165.933865
-14484.791755,1080,167.284536
-739.443642,1080,167.883677
-28275.404226,1080,169.19741
497.597758,1080,169.819557
-23910.194979,1080,171.204498
-24530.221771,1080,171.810224
-123.496891,1080,173.202498
-30275.544815,1080,173.814369
-7842.500607,1080,175.144118
-858.555019,1080,175.744934
-21948.58144,1080,177.12132
-22441.115143,1080,178.424938
-5542.498865,1080,179.10188
