step_range,duration_sec,action,vel_kmh_change,pos_km_change,sum_tve_reward,sum_ic_penalty,sum_ef_penalty,sum_sl_penalty,total_reward
8850 -> 8850,0.1,1_惰行,11.5 -> 11.5,2.860 -> 2.860,0.0,0.0,0.0,-20.9,-21.9
8860 -> 8860,0.1,1_惰行,11.3 -> 11.3,2.861 -> 2.861,0.0,0.0,0.0,-20.9,-21.9
8870 -> 8870,0.1,1_惰行,11.0 -> 11.0,2.862 -> 2.862,0.0,0.0,0.0,-20.9,-21.9
8880 -> 8880,0.1,1_惰行,10.8 -> 10.8,2.862 -> 2.862,0.0,0.0,0.0,-20.8,-21.8
8890 -> 8890,0.1,1_惰行,10.5 -> 10.5,2.863 -> 2.863,0.0,0.0,0.0,-20.8,-21.8
8900 -> 8900,0.1,1_惰行,10.3 -> 10.3,2.864 -> 2.864,0.0,0.0,0.0,-20.8,-21.8
8910 -> 8910,0.1,1_惰行,10.0 -> 10.0,2.865 -> 2.865,0.0,0.0,0.0,-20.8,-21.8
8920 -> 8920,0.1,1_惰行,9.8 -> 9.8,2.866 -> 2.866,0.0,0.0,0.0,-20.8,-21.8
8930 -> 8930,0.1,1_惰行,9.5 -> 9.5,2.866 -> 2.866,0.0,0.0,0.0,-20.7,-21.7
8940 -> 8940,0.1,1_惰行,9.3 -> 9.3,2.867 -> 2.867,0.0,0.0,0.0,-20.7,-21.7
8950 -> 8950,0.1,1_惰行,9.0 -> 9.0,2.868 -> 2.868,0.0,0.0,0.0,-20.7,-21.7
8960 -> 8960,0.1,1_惰行,8.8 -> 8.8,2.869 -> 2.869,0.0,0.0,0.0,-20.7,-21.7
8970 -> 8970,0.1,1_惰行,8.6 -> 8.6,2.869 -> 2.869,0.0,0.0,0.0,-20.7,-21.7
8980 -> 8980,0.1,1_惰行,8.3 -> 8.3,2.870 -> 2.870,0.0,0.0,0.0,-20.6,-21.6
8990 -> 8990,0.1,1_惰行,8.1 -> 8.1,2.870 -> 2.870,0.0,0.0,0.0,-20.6,-21.6
9000 -> 9000,0.1,1_惰行,7.8 -> 7.8,2.871 -> 2.871,0.0,0.0,0.0,-20.6,-21.6
